30,1
394,2
651,3
1572,4
1067,1
234,5
689,3
2291,6
1991,7
260,5
195,3
1643,8
2020,6
1672,4
1708,3
413,5
293,3
1652,5
818,1
1644,7
94,4
851,5
1845,5
478,9
220,3
2010,4
2378,4
1526,3
789,9
2225,4
1750,4
67,9
40,4
2263,3
241,4
3298,10
2857,1
93,3
2823,4
1237,11
1321,4
1603,4
1016,12
566,4
1600,3
147,5
837,3
2897,3
39,5
739,1
3310,4
2643,1
2576,4
3271,2
2025,4
617,3
3305,13
904,2
2305,5
571,4
1932,1
2187,3
1732,1
2035,5
2390,3
1000,1
247,5
2048,7
2072,4
1309,14
1876,3
3193,4
1533,5
2760,10
2507,4
1912,5
2482,4
1597,3
2108,4
2774,4
2994,4
1455,3
1264,4
2216,1
1463,1
1293,5
3364,4
2115,5
2107,3
1510,4
459,5
3175,1
2592,4
3355,5
2509,10
1828,5
1206,1
2391,1
2784,5
412,1
822,3
3196,4
1198,14
3340,10
15,11
120,5
527,15
2460,13
3221,4
2641,10
2192,15
2287,3
3170,1
2716,4
1456,3
1906,3
3143,4
1001,1
2022,2
3189,10
3161,3
3108,3
2092,5
1795,1
3300,10
3166,10
1759,3
415,1
737,1
890,7
3063,6
1515,4
2960,4
2561,5
118,4
555,11
2280,8
331,15
1585,4
2125,11
2309,1
1490,11
1189,6
1901,4
534,9
347,11
632,10
574,5
848,5
297,5
2373,4
3391,4
889,3
1914,4
994,5
2077,1
690,5
539,9
2180,1
1329,4
1401,1
1761,8
3044,1
2538,3
704,1
2071,6
2518,3
2846,5
2902,4
528,5
1376,1
1965,1
1469,8
3131,1
2013,5
2223,4
1347,4
1363,4
1610,3
559,9
3100,4
498,9
1893,14
3198,5
2776,4
2819,3
1407,1
1410,7
2141,4
2168,10
1337,3
448,12
2480,4
2650,16
2757,4
3146,1
1857,4
2863,4
1637,3
909,1
2331,5
1449,4
2990,4
2882,8
974,3
83,1
825,3
1202,5
1823,7
3174,1
1944,5
932,5
439,1
936,4
1268,4
1697,1
242,4
980,3
1196,3
2787,6
1587,3
2577,5
2842,4
2185,14
3244,1
3251,6
3227,4
383,10
653,5
1765,1
1184,3
2831,1
3064,7
873,3
364,8
2688,4
2318,1
1342,9
1909,5
1724,3
1990,5
2,9
1100,4
1561,4
2869,4
3407,4
337,3
390,16
1752,1
2447,4
2429,4
2195,3
2347,4
833,4
1235,8
2941,1
2184,1
1295,3
1574,4
2655,1
2564,4
1374,5
1277,4
1355,4
3069,4
2993,3
396,5
1647,3
1589,4
2532,5
367,5
246,5
2627,3
2848,3
28,4
2876,4
2961,1
1730,4
391,4
2612,3
2132,3
764,16
2748,4
1836,1
966,4
1236,4
1414,4
2533,4
3361,1
1923,1
2443,6
1057,4
1673,7
160,9
455,2
24,4
1136,5
2793,5
2369,4
1387,4
2769,1
2524,1
2372,4
900,9
1728,8
213,9
1684,8
3004,4
1633,9
779,1
1910,4
2652,5
3045,11
403,4
1326,5
424,3
2144,4
2807,4
595,3
2635,6
340,1
675,4
1878,14
2571,4
694,1
184,5
598,5
1195,3
1887,1
366,5
2303,4
1159,1
26,11
122,3
1745,4
3057,3
1837,1
1154,3
1252,3
2365,10
156,14
2253,4
1214,8
135,2
313,16
2410,4
777,1
1373,4
745,4
1194,5
1506,1
3087,4
931,5
55,5
1753,3
731,9
84,3
1377,4
1139,8
1146,16
2658,7
3250,4
2835,4
1994,1
2041,4
3043,11
2393,4
2660,4
2918,6
1964,7
3077,7
3205,8
1408,9
3290,4
1462,5
2246,4
2528,4
680,1
3176,1
1068,4
1227,1
2103,1
1530,5
2106,16
1389,3
2839,4
1657,1
922,1
2057,6
2419,5
1324,5
2221,4
1966,3
1151,5
1602,5
1180,4
1489,1
2944,4
871,4
810,16
2543,1
410,15
579,9
1746,5
2336,1
1676,1
229,3
453,1
456,9
2815,10
2181,3
2011,1
1201,3
2806,3
1298,4
2252,1
1296,4
1959,3
2698,4
2298,1
299,5
1101,4
2068,4
33,5
2129,16
1729,7
2693,1
2131,3
2874,12
2550,5
1352,5
1963,11
523,11
2444,1
930,3
2273,3
2696,1
501,3
2585,4
1680,11
223,5
1013,4
2732,4
1451,4
2952,1
1799,7
5,9
1076,5
1544,5
2231,4
2851,6
618,1
2332,1
2356,16
2679,4
2036,1
1498,5
1372,4
965,13
1063,4
769,5
2631,4
2701,3
431,3
2547,3
2516,3
291,1
2056,4
1666,6
3156,4
1536,9
2285,1
1908,4
1020,4
544,4
495,3
2620,4
1675,4
1531,9
2297,3
938,1
708,4
1221,11
839,13
1685,1
1413,5
855,1
1894,5
2153,4
1898,4
655,4
